De,,Para,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PORTARIA N. 47, DE 14 DE FEVEREIRO DE 2020. DO ARQUIVO NACIONAL (REVOGADA)",,PORTARIA AN/MGI Nº 174/2024 (EM VIGOR) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CÓDIGO,DESCRITOR DO CÓDIGO,CÓDIGO,DESCRITOR DO CÓDIGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.173,Imposto de renda retido na fonte (IRRF) (Descontos),023.173,Imposto de renda retido na fonte (IRRF) (Descontos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.174,Pensão alimentícia (Descontos),023.174,Pensão alimentícia (Descontos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.175,Consignações facultativas (Descontos),023.175,Consignações facultativas (Descontos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.18,"Obrigações trabalhistas e estatutárias, encargos patronais e recolhimentos",023.18,"Obrigações trabalhistas e estatutárias, encargos patronais e recolhimentos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.181,Programa de formação do patrimônio do servidor público (Pasep). Programa de integração social (PIS),023.181,Programa de formação do patrimônio do servidor público (Pasep). Programa de integração social (PIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.182,Fundo de garantia do tempo de serviço (FGTS),023.182,Fundo de garantia do tempo de serviço (FGTS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.183,"Contribuição sindical do empregador (Obrigações trabalhistas e estatutárias, encargos patronais e recolhimentos)",023.183,"Contribuição sindical do empregador (Obrigações trabalhistas e estatutárias, encargos patronais e recolhimentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.184,"Contribuição para o plano de seguridade social (Obrigações trabalhistas e estatutárias, encargos patronais e recolhimentos)",023.184,"Contribuição para o plano de seguridade social (Obrigações trabalhistas e estatutárias, encargos patronais e recolhimentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026.2,Salário maternidade (Concessão de benefícios de seguridade e previdência social),026.2,Salário maternidade (Concessão de benefícios de seguridade e previdência social),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.185,"Imposto de renda (Obrigações trabalhistas e estatutárias, encargos patronais e recolhimentos)",023.185,"Imposto de renda (Obrigações trabalhistas e estatutárias, encargos patronais e recolhimentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.2,Férias (Concessão de direitos e vantagens),023.2,Férias (Concessão de direitos e vantagens),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.3,Licenças (Concessão de direitos e vantagens),023.3,Licenças (Concessão de direitos e vantagens),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026.4,Licenças (Concessão de benefícios de seguridade e previdência social),026.4,Licenças (Concessão de benefícios de seguridade e previdência social),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.4,Afastamentos,023.4,Afastamentos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.7,Reembolso de despesas. Indenização,023.7,Reembolso de despesas. Indenização,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.71,Mudança de domicílio (Reembolso de despesas. Indenização),023.71,Mudança de domicílio (Reembolso de despesas. Indenização),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.72,Locomoção (Reembolso de despesas. Indenização),023.72,Locomoção (Reembolso de despesas. Indenização),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.73,Ressarcimento de plano de saúde (Reembolso de despesas. Indenização),023.73,Ressarcimento de plano de saúde (Reembolso de despesas. Indenização),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.91,Contratação de seguro (Outras ações referentes à concessão de direitos e vantagens),023.91,Contratação de seguro (Outras ações referentes à concessão de direitos e vantagens),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.92,Ocupação de imóvel funcional (Outras ações referentes à concessão de direitos e vantagens),023.92,Ocupação de imóvel funcional (Outras ações referentes à concessão de direitos e vantagens),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.93,Fornecimento de transporte (Outras ações referentes à concessão de direitos e vantagens),023.93,Fornecimento de transporte (Outras ações referentes à concessão de direitos e vantagens),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.5,Concessões (Concessão de direitos e vantagens),023.5,Concessões (Concessão de direitos e vantagens),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.6,Auxílios (Concessão de direitos e vantagens),023.6,Auxílios (Concessão de direitos e vantagens),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
027,Apuração de responsabilidade disciplinar,027,Apuração de responsabilidade disciplinar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
027.1,Averiguação de denúncias,027.1,Averiguação de denúncias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
027.2,Aplicação de penalidades disciplinares,027.2,Aplicação de penalidades disciplinares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026,Concessão de benefícios de seguridade e previdência social,026,Concessão de benefícios de seguridade e previdência social,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026.01,Adesão à previdência complementar (Concessão de benefícios de seguridade e previdência social),026.01,Adesão à previdência complementar (Concessão de benefícios de seguridade e previdência social),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026,Concessão de benefícios de seguridade e previdência social,026,Concessão de benefícios de seguridade e previdência social,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.91,Contratação de seguro (Outras ações referentes à concessão de direitos e vantagens),023.91,Contratação de seguro (Outras ações referentes à concessão de direitos e vantagens),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026.3,Auxílios (Concessão de benefícios de seguridade e previdência social),026.3,Auxílios (Concessão de benefícios de seguridade e previdência social),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026.91,Auxílio reclusão (Outras ações referentes à concessão de benefícios de seguridade e previdência social),026.91,Auxílio reclusão (Outras ações referentes à concessão de benefícios de seguridade e previdência social),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026.51,Invalidez permanente (Aposentadoria),026.51,Invalidez permanente (Aposentadoria),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026.52,Compulsória (Aposentadoria),026.52,Compulsória (Aposentadoria),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026.53,Voluntária (Aposentadoria),026.53,Voluntária (Aposentadoria),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026.54,Especial (Aposentadoria),026.54,Especial (Aposentadoria),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026.02,Contagem e averbação de tempo de serviço (Concessão de benefícios de seguridade e previdência social),026.02,Contagem e averbação de tempo de serviço (Concessão de benefícios de seguridade e previdência social),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026.61,Pensão provisória. Pensão temporária,026.61,Pensão provisória. Pensão temporária,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026.62,Pensão vitalícia,026.62,Pensão vitalícia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026.9,Outras ações referentes à concessão de benefícios de seguridade e previdência social,026.9,Outras ações referentes à concessão de benefícios de seguridade e previdência social,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.175,Consignações facultativas,023.175,Consignações facultativas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025.11,Celebração de convênios de planos de saúde (Assistência à saúde),025.11,Celebração de convênios de assistência à saúde (Assistência à saúde),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025.14,Prontuário médico e odontológico (Assistência à saúde),025.14,Registro de assistência à saúde em prontuário (Assistência à saúde),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.92,Ocupação de imóvel funcional (Outras ações referentes à concessão de direitos e vantagens),023.92,Ocupação de imóvel funcional (Outras ações referentes à concessão de direitos e vantagens),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.93,Fornecimento de transporte (Outras ações referentes à concessão de direitos e vantagens),023.93,Fornecimento de transporte (Outras ações referentes à concessão de direitos e vantagens),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025.31,Constituição da comissão interna de prevenção de acidentes (Cipa) (Segurança do trabalho. Prevenção de acidentes de trabalho),025.31,Constituição da comissão interna de prevenção de acidentes (Cipa) (Segurança do trabalho. Prevenção de acidentes de trabalho),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025.32,Registro de ocorrências de acidentes de trabalho (Segurança do trabalho. Prevenção de acidentes de trabalho),025.32,Registro de ocorrências de acidentes de trabalho (Segurança do trabalho. Prevenção de acidentes de trabalho),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025.311,Composição e atuação (Constituição da comissão interna de prevenção de acidentes),025.311,Composição e atuação (Constituição da comissão interna de prevenção de acidentes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025.312,Operacionalização de reuniões (Constituição da comissão interna de prevenção de acidentes),025.312,Operacionalização de reuniões (Constituição da comissão interna de prevenção de acidentes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025.32,Registro de ocorrências de acidentes de trabalho (Segurança do trabalho. Prevenção de acidentes de trabalho),025.32,Registro de ocorrências de acidentes de trabalho (Segurança do trabalho. Prevenção de acidentes de trabalho),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025.22,"Oferta de serviços de refeitório, cantinas e copas (Preservação da saúde e higiene)",025.22,"Oferta de serviços de refeitório, cantinas e copas (Preservação da saúde e higiene)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025.14,Prontuário médico e odontológico (Assistência à saúde),025.14,Registro de assistência à saúde em prontuário (Assistência à saúde),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029,Outras ações referentes à gestão de pessoas,029,Outras ações referentes à gestão de pessoas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029.12,Definição do horário de expediente (Controle de assiduidade e pontualidade),029.12,Definição do horário de expediente (Controle de assiduidade e pontualidade),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029.11,Controle de frequência (Controle de assiduidade e pontualidade),029.11,Controle de frequência (Controle de assiduidade e pontualidade),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028,Cumprimento de missões e viagens a serviço,028,Cumprimento de missões e viagens a serviço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028.11,Com ônus (Cumprimento de missões e viagens a serviço),028.11,Com ônus (Cumprimento de missões e viagens a serviço),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028.12,Com ônus limitado (Cumprimento de missões e viagens a serviço),028.12,Com ônus limitado (Cumprimento de missões e viagens a serviço),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
